"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"216","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",8,"1 review","1 completed","
                    It was great course, and I'll recommend to everyone who wants to learn to build your own games and learn python, I found a big problem it is my english level some times I miss understand the ideas, but it was helpful to me in all the context since learning structured programming until POO, it was recomfortable I learned new stuff and I like the way you build code skulptor interface.
                "
"217","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    It's an excellent course to learn to start programming. With little or no knowledge, you will be able to program pretty impressive stuff in short time. It's very rewarding.
                "
"218","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    The instructors are really wonderful. I'm going to miss them! The lectures are filled with important information and entertaining.
The programming assignments were super challenging for me and took a lot of time to finish. 
                "
"219","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    Because the course content is designed to engage programmers of various skill levels and programming language knowledge, content begins VERY simple concepts but gains momentum during the first course and presents greater challenge and complexity during the second course. Early in the course I was a bit concerned but realized around week 3 of the first course that the content would be stimulating and challenging. The real challenge came with the introduction and implementation of Object Oriented Programming. As a conventional programmer having learned to write in BASIC and Assembly code on the Commodore 64 and TI-99/4A this was a much needed exercise in changing my thought process and approach to programming. With a lot of work, watching the videos, interacting in the course discussions, use of code clinic, and looking at supplemental content, I actually understand and can implement OOP. What is unique is that they make what might otherwise seem to be dull material very fun by teaching the concepts from the perspective of designing classic games.
The instructors are, by far, the most engaging and thoughtful of any MOOC I have taken. I was impressed by the incredible amount of work they put into preparing the course. Saying they have gone above-and-beyond is an understatement. The video lectures are engaging. The creation of an online Python shell with easy to use built-in documentation clearly took an incredible amount of time. The end result is an easy-to-use IDE that allows participants to not only write code (and analyze it step-by-step through the use of Viz Mode), but to share and analyze others code by the simple sharing of a link. I was impressed by Dr. Warren's personal attention that he gives in the forums.
Overall I found the instructors to be thoughtful, engaging, humorous, and interested in students learning the material. They have accomplished creating a learning environment that is fun and fosters continuing even when the material gets challenging. I have not seen this from any other course I have taken.

                "
"220","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","

                                    Bryan Goette
                                
","Completed",10,"1 review","1 completed","
                    I really enjoyed this class. I looked forward every week to the next video. I couldn't skip ahead like in other classes but it was fine. I did have prior Python experience from other MOOCs and that helped. The instructors were good at visually explaining each concept. I recommend dissecting each example they give you. The quizzes were tougher than I expected and if I didn't have the prior Python knowledge I could see the Mini-Projects taking longer than you'd expect. Even with what I knew I had to refer to the videos several times. In the end, I feel way more comfortable with Python. I'm sad this course isn't longer.
                "
"221","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    This course has helped me a lot in learning to program. Also, the instructors are really cool and funny, meaning they create a nice, relaxed and fun atmosphere when teaching you. The course hooked me the right away and it was entertaining and helpful from the first second! I have really enjoyed taking the course, and I am sure you will too!
                "
"222","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","

                                    Santoshi JD
                                
","Completed",10,"1 review","1 completed","
                    It was fun taking this course. This course not only teaches you python programming but also makes you feel cool as by the end of the course you have actually built a full fledged game. Instructors are awesome, they make the class fun and never boring at all. The content is great and so are the games built.
                "
"223","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    This is by far the best programming course available online. I really appreciate all the work the was done while building classes for this course. I've learned a lot from it. Also, now I'm able to write my own programs. Highly recommended.
                "
"224","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",6,"1 review","1 completed","
                    Quite short, leaks of information, not really updated and must be improved. Part I much better than Part II. The jump between both parts is huge. I'm pretty sure many people gave up after the second week of the part II. It's really a pity!
                "
"225","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","

                                    Savitha Ravikrishnan
                                
","Completed",10,"1 review","1 completed","
                    Excellent instructors who are really passionate about teaching. They make the process of learning programming and python fun and guide the students throughout the class. They have put in a lot of effort to help students with no prior programming experience get up to speed - kudos to that and thank you so much professors!!
Overall a very good course and I highly recommend it.
                "
"226","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    I loved this course! The instructors teach programming in Python in a fun and accessible way! Also the programming language Python is a easy language to start with if you have never programmed before.
                "
"227","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","

                                    Kanupuru Sunil
                                
","Completed",10,"1 review","1 completed","
                    This course is awesome. The way it is laid out from course videos, Quizzes to Mini Projects. Everything motivates us to build great mini projects, I was able to complete with very less amount of time spending, and i was just stuck a couple of times in the mini project. And that was all my mistake as i was not viewing my courser videos on time.
                "
"228","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    Amazing Course. I had previous programming experience in Python and other languages, but not in OO programming, and this course just nailed it to teach OOP. Great content, great teachers, and my programming level has really gone up after this course. Thanks alot to those who have made this course possible !
                "
"229","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","

                                    Nadia Luchina
                                
","Completed",10,"1 review","1 completed","
                    I really enjoyed taking this class. The instructors are excellent professionals both in programming (as far as I can see of course:)) and in teaching - learning was interesting and fun for me, and the quality of all the materials was great. The coding tool CodeSculptor was very useful, I think that's a great idea (and a great tool) for such a course.  
                "
"230","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    Excellent course. I had no experience in programming before this course. Now, I can even make a simple 2D game, just after 8-9 weeks of course. This course is beginners friendly. I also  think this course gives solid understanding about what programming is. Also I think it's easier to start programming with Python. I've tried to learn programming on C# and Visual Basic but these languagies is not so good for beginners.
                "
"231","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    This MOOC is great and I can say that it is the best MOOC for learning programming, videogames and Python. Scott and Joe are great instructors. 
In conclusion, I love this class!
                "
"232","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    Provider: Coursera works really well even if I had some problems getting them accepting my ID format and spent some day tinkering with the tech support when I was waiting to obtain my course certificate at the end of part I. The course is simply great: I think that everyone, from beginners to programmers that what to approach python in a fun way, will appreciate it. Videos are always nice: easy to follow but never boring, quizzes help fixing the concepts encouraging to try out things and mini projects with games to be implemented are super. The guides to develop them are really useful   and help novices with step by step suggestions. All the instructors are fantastic and I agree that we need to see more of John and code style / programming tips videos! I keep suggesting people to try out this course because I strongly believe that it would be useful and fun in many different occasions.
                "
"233","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    The course was a lot of fun. The lectures were top quality and the quizzed and mini-projects challenging. The best online course I have enrolled so far.
                "
"234","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","

                                    Junqin Zhu
                                
","Completed",10,"1 review","1 completed","
                    The course is definitely well-designed. A completely newbie in programming like me can follow up with some rewardable effort. It felt really great when I finished the weekly project and played the game that I built. The instructors are awesome! (despite the over-use of ""awesome"", but frankly, they really are) They are humorous, helpful, and they made this experience totally enjoyable! They're great!
                "
"235","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    Awesome course!  The instructors gave good video lectures and the assignments were all interesting and fun.  I learned a lot from the instructors and assignments.
                "
"236","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    Both parts of this course were amazing. I work in a psychology lab where we use python-programmed experiments. I took other python courses to better understand this experiments but it was this one that helped me out the most. The other courses I took were not interactive; they just taught you how to use python to read files and that kind of stuff. This was so different and, in my opinion, so much better. I really leaned A LOT in mere two months, and the teachers are all great. Not only are they crystal clear when explaining, but they also make the class very entertaining. The mini-projects are engaging to complete, and you really feel satisfied when you get them done.
I highly recommend this course to anyone interested in learning about programming.
                "
"237","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    it was great, fun and informative.. by it's end I was having a blast customizing my own asteroids game, adding stuff and modifying stuff, I really think choice of making games as a medium for teaching the course was brilliant and is what kept me going when I was having trouble with finishing my assignments
                "
"238","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    The best programming MOOC I've ever taken. 

The professors are having fun and you can't help but join them. 

They distill the information so that the class is challenging but not overly difficult. 

The discussion forums are also very helpful. 

I would recommend this class to anyone
                "
"239","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    Truly remarkable, you do not just learn to make games, you learn how to use python as a beginner, and wirting 2 to 3 hundred of lines.
Truly helpful for a beginner phd in engineering, who should obtain some programming techniques.
                "
"240","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    I think the class was taught very well. The instructors made the projects very interesting. The class material itself was fun. You will need to spend some time on the class to complete the projects.
                "
"241","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    Class is challenging yet, it is very rewarding. You spend your time learning to make games which are fun! The instructors do a wonderful job at easing you into concepts. Overall, the course in phenomenal!
                "
"242","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    This was a great course on introductory programming! I honestly wish some of my college courses were as well constructed. Every part of it worked together to teach new concepts without forgetting to reinforce and extent the older ones. All the videos were direct and on-point for the concepts you'd need for the week's project; the quizzes kept you very honest about your class video watching and highlighted the finer points of the concepts you'd need for the big homework project for the week. The focus on making those projects small games of increasing complexity but simple game play was spot-on too - both fun and rewarding on a regular basis. Even the grading scheme - where you run through several of your classmates' assignments and grade to criteria, was a clever way to have group participation without the typical problems of group work. And the CodeSculptor web-based Python development environment eliminated just about all the computer/OS specific problems. WELL DONE!!

One thing that seemed to be a negative was the work depended on the SimpleGUI libraries, which are not otherwise available outside CodeSkulptor which leaves your games stuck there - but since then I've read about SimpleGUICS2Pygame which should help in breaking your games free.

Also, while it is not meant as a comprehensive course on Python, it seemed that some concepts were too quickly introduced and put to use before understanding them and why they exist - Classes/OOP stands out. Also, sooo much dad humor...

But - for an introduction - my appetite is whet, and I'm off to see what else is out there. Well done to Joe, Rick, John, Stephen and Rice on University for making a great MOOC. 
                "
"243","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    An Introduction to Interactive Programming in Python is an excellent course, with very good teachers and materials. I really enjoy this class from the beginning to the end.
                "
"244","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    Scott and Joe are awesome. To my knowledge, Rice Univ is one of the best in the business of teaching programming, principles of computing, and Machine knowledge.
                "
"245","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    This is an excellent and stimulating introduction to GUI programming in Python 2.  I found the style of the teachers to be very enjoyable, and I could not wait until the following week's lectures were released! The course difficulty is excellent and the content is great! Just do it!
                "
"246","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    Both parts of this course are fun, informative and challenging.  The instructors keep the course entertaining.  I would recommend these 
classes to anyone interested in python programming.
                "
"247","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    This class provides an environment where learning can occur at a reasonable pace.  The videos are short enough to be viewed in spare moments, the assignments are focused on one or two key topics at a time, and the progression is gradual enough to let students absorb the material and keep up week to week.  There are plenty of exercises with solutions to help understand the topics.  CodeSkulptor is a nice build environment, that puts users on many different systems on common ground.  Not too may bells and whistles while remaining fully functional.  Great job to the teaching staff.
                "
"248","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    What a great course!

By ""great"" I do *not* mean ""easy"".

As someone who has dabbled in programming, I found part two VERY difficult.  Object-oriented programming is a brand new concept to me, and quite challenging.  I plan to take part two again and see if I can pick up a more solid understanding.

This course is very well designed, with program templates and cool projects and exercises that I enjoyed.  AND it's free.  What have you got to lose?
                "
"249","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    The content was comprehensive, the teachers approached the course from different perspectives, and every lesson looked like it was building towards some lofty goal while also letting the student get a sense of accomplishment each week.
                "
"250","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    In only 9 weeks, you'll go from pretty basic/introductory material to having the confidence (if not yet the high level expertise) to design and to code fairly complex, interactive (i.e., event-driven), object-oriented programs. And you'll have been taught in a very well thought out and 'layered' way which will have you internalising a lot of the material without you realising it (until you come to code something later and surprise yourself how easily you're doing it), and also experiencing just how much simpler and easier things can be with the object-oriented approach.  There are a few times towards the latter part of the the course where you can experience how relatively small amounts of programming with classes/objects leads to relatively powerful effects. (This course was my first exposure to OOP, so that was my experience having become very comfortable with procedural, non-OOP programming in the past.)
The instructors/lecturers are highly likeable, and are clearly very invested in the quality of the course. And one thing that's important to point out is that they have provided a substantial amount of support material: weekly 'concepts' go over the material taught in detail with plenty of examples; and weekly practice exercises that are pretty easy, and yet very helpful in cementing your knowledge and building up your coding confidence. The tools provided - CodeSkulptor for coding in your browser without having to download and install complex software, and ""Viz Mode"", for studying in detail what's going on in the bit of code you just wrote that isn't working as you expected it to - are just superb and well documented. CodeSkulptor in particular just makes it easy to get going in the course (and also helps to make peer reviewing much easier), and the Viz Mode - while I didn't use it much - is VERY helpful for gaining an understanding of what is going on 'under the hood' of Python (e.g., how lists are mutated, how local variables 'disappear' after a function has returned, etc., etc.) I could go on for longer, but if you are (like I was just before I started this) interested in learning a powerful, widely-used programming language within the context of a larger specialisation that is designed to teach the core concepts of computer science (this course if the first part of the 'Fundamentals of Computing' Coursera specialisation, then just enroll on the next course, and definitely sign up for certification if you can afford it, because that will help you to get all of your assignments in by the deadlines and to finish this great course!
AMF.
                "
"251","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",8,"1 review","1 completed","
                    Excellent introduction to Python and event driven programming.  Scott Rixner (CodeSkulptor) and Joe Warren take the lead and are fully engaged.  Terrific online learning experience overall!
                "
"252","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    I have done a few Coursera courses and this is by far the best. The teachers were engaging and the course was tailored to maximize  tangible improvement and fulfillment. Well done!
                "
"253","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    Excellent course overall. Taught extremely well and you will look forward to the videos because of teacher personalities as well. Highly recommended. 
                "
"254","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 months, 2 weeks ago","

                                    Marcus Chen
                                
","Completed",8,"1 review","1 completed","
                    I came from a non-programming background. I had some experience with SAS and SQL, but this is the second ""real"" programming course I have ever taken.

Things I like:
The contents are well-structured in an interesting manner. Instead of tedious long lectures on types of variables, mathematical crises or Turing machine you are actually building your knowledge from making games in this class. The course is friendly to newbies like myself, but it also gets deeper and systematic along the way. 

Joe and Scott are fantastic lecturers. The lectures are clear, well-paced and relaxed.

The forum is very helpful with many members active and willing to lend a hand. The peer review is a good process to learn from other peoples' work.

The only thing I don't like:
The last project was too difficult in terms of math and some notions are ambiguous in the lecture. For instance the fraction should be a constant and should always be in the opposite direction with the moving direction (which is not necessarily the same as the current direction of the ship). I saw a lot of people directly using the ship's direction to calculate the fraction, which is not correct. These calculations should be provided so people do not have to spend hours solving problems on maths and physics. This is a programming class after all :)

To conclude, I strongly recommend this class to whoever begins to learn programming or has some background in other languages but wants to learn python.

Thanks to everyone who brought this awesome course alive.
                "
